,h3_10,all_birds
0,8a28308004b7fff,428.0
1,8a28308004c7fff,1.0
2,8a283080064ffff,4.0
3,8a2830800707fff,1.0
4,8a283080070ffff,33.0
5,8a28308007affff,1.0
6,8a2830800a8ffff,5.0
7,8a2830800aa7fff,12.0
8,8a2830800b87fff,18.0
9,8a2830802047fff,1838.0
10,8a283080204ffff,916503.0
11,8a2830802057fff,13629.0
12,8a283080205ffff,5527.0
13,8a2830802067fff,440.0
14,8a2830802077fff,21144.0
15,8a28308020b7fff,192.0
16,8a28308020e7fff,10.0
17,8a28308020effff,10353.0
18,8a2830802147fff,2696.0
19,8a2830802157fff,674.0
20,8a283080215ffff,1189.0
21,8a2830802167fff,7.0
22,8a283080216ffff,1190.0
23,8a283080219ffff,29.0
24,8a2830802317fff,5205.0
25,8a283080231ffff,515.0
26,8a2830802367fff,6961.0
27,8a28308023a7fff,768.0
28,8a28308023b7fff,1013.0
29,8a28308028c7fff,36.0
30,8a28308028cffff,91.0
31,8a2830802a67fff,14.0
32,8a2830802acffff,252.0
33,8a2830802b5ffff,10.0
34,8a2830802b87fff,563.0
35,8a2830802b8ffff,1101.0
36,8a2830802b97fff,4530.0
37,8a2830802b9ffff,2496.0
38,8a2830803087fff,103.0
39,8a283080318ffff,397.0
40,8a2830803227fff,9.0
41,8a2830803237fff,5737.0
42,8a28308032a7fff,7.0
43,8a28308032b7fff,2.0
44,8a2830803307fff,1.0
45,8a2830803357fff,52.0
46,8a2830803627fff,17.0
47,8a283080362ffff,235.0
48,8a2830803657fff,8.0
49,8a283080366ffff,1.0
50,8a283080370ffff,170.0
51,8a2830803717fff,29.0
52,8a283080374ffff,2.0
53,8a2830803757fff,10.0
54,8a283080376ffff,1.0
55,8a283080378ffff,18.0
56,8a2830803797fff,1.0
57,8a283080379ffff,7.0
58,8a28308037affff,8.0
59,8a2830803ab7fff,1.0
60,8a2830803baffff,765.0
61,8a2830803c47fff,10.0
62,8a2830803d07fff,21.0
63,8a2830803d5ffff,314.0
64,8a2830803daffff,2.0
65,8a2830804617fff,6.0
66,8a2830804d9ffff,13.0
67,8a2830805487fff,79.0
68,8a2830806087fff,261.0
69,8a28308060d7fff,22.0
70,8a2830806137fff,58.0
71,8a283080632ffff,4502.0
72,8a283080641ffff,59.0
73,8a2830806427fff,3.0
74,8a283080642ffff,20.0
75,8a2830806457fff,1.0
76,8a2830806467fff,167.0
77,8a28308064c7fff,105.0
78,8a283080650ffff,526.0
79,8a283080651ffff,1.0
80,8a2830806527fff,48.0
81,8a28308065affff,6.0
82,8a283080661ffff,18.0
83,8a2830806707fff,26693.0
84,8a283080671ffff,17.0
85,8a2830806737fff,187.0
86,8a2830806ac7fff,360.0
87,8a2830806acffff,20.0
88,8a2830806ad7fff,2640.0
89,8a2830806adffff,1217.0
90,8a2830806aeffff,2407.0
91,8a2830806c17fff,571.0
92,8a2830806c1ffff,32.0
93,8a2830806c87fff,1509.0
94,8a2830806c9ffff,378.0
95,8a2830806ca7fff,272.0
96,8a2830806cb7fff,1284.0
97,8a2830810027fff,2.0
98,8a2830810037fff,821.0
99,8a2830810087fff,2.0
100,8a2830810097fff,5.0
101,8a28308100b7fff,8.0
102,8a28308100e7fff,4.0
103,8a2830810107fff,49.0
104,8a283081010ffff,2.0
105,8a2830810117fff,2204.0
106,8a283081011ffff,59.0
107,8a2830810127fff,100.0
108,8a283081012ffff,1.0
109,8a2830810137fff,50.0
110,8a2830810147fff,4.0
111,8a283081014ffff,1067.0
112,8a2830810157fff,4.0
113,8a2830810167fff,13.0
114,8a283081016ffff,1415.0
115,8a2830810177fff,83.0
116,8a283081018ffff,3479.0
117,8a2830810197fff,100.0
118,8a2830810207fff,24.0
119,8a2830810287fff,3.0
120,8a283081038ffff,4.0
121,8a2830810407fff,23882.0
122,8a283081040ffff,64.0
123,8a2830810417fff,493.0
124,8a283081041ffff,315.0
125,8a2830810427fff,11467.0
126,8a2830810437fff,31.0
127,8a2830810447fff,6.0
128,8a283081044ffff,1.0
129,8a2830810457fff,1.0
130,8a2830810467fff,23.0
131,8a283081046ffff,176.0
132,8a2830810477fff,53.0
133,8a283081048ffff,10.0
134,8a2830810497fff,11.0
135,8a28308104a7fff,2.0
136,8a28308104affff,17.0
137,8a28308104c7fff,490.0
138,8a28308104d7fff,50.0
139,8a28308104e7fff,175.0
140,8a2830810507fff,444.0
141,8a283081050ffff,91.0
142,8a2830810517fff,641.0
143,8a283081051ffff,21.0
144,8a2830810527fff,62.0
145,8a283081054ffff,8.0
146,8a2830810557fff,13.0
147,8a283081055ffff,478.0
148,8a283081056ffff,2.0
149,8a2830810577fff,828.0
150,8a2830810587fff,3025.0
151,8a283081058ffff,538.0
152,8a2830810597fff,1764.0
153,8a283081059ffff,39.0
154,8a28308105a7fff,33708.0
155,8a28308105affff,953.0
156,8a283081061ffff,8.0
157,8a283081062ffff,196.0
158,8a2830810637fff,23.0
159,8a2830810657fff,1.0
160,8a28308106f7fff,3.0
161,8a2830810707fff,247.0
162,8a283081070ffff,4.0
163,8a283081076ffff,361.0
164,8a2830810777fff,43.0
165,8a283081078ffff,12.0
166,8a28308107affff,2.0
167,8a2830810807fff,2.0
168,8a2830810827fff,22.0
169,8a2830810837fff,1.0
170,8a2830810857fff,11.0
171,8a2830810887fff,22.0
172,8a283081088ffff,10.0
173,8a2830810897fff,238.0
174,8a28308108affff,13.0
175,8a28308108b7fff,21.0
176,8a28308108c7fff,37.0
177,8a28308108effff,2.0
178,8a283081090ffff,5.0
179,8a2830810927fff,226.0
180,8a283081092ffff,43.0
181,8a2830810937fff,1.0
182,8a2830810967fff,540.0
183,8a283081098ffff,5.0
184,8a2830810a5ffff,34.0
185,8a2830810acffff,1062.0
186,8a2830810adffff,99.0
187,8a2830810b77fff,2.0
188,8a2830810b97fff,16.0
189,8a2830810baffff,36.0
190,8a2830810bb7fff,43.0
191,8a2830810c07fff,2614.0
192,8a2830810c0ffff,131.0
193,8a2830810c1ffff,12.0
194,8a2830810c2ffff,13.0
195,8a2830810c47fff,86.0
196,8a2830810c4ffff,2.0
197,8a2830810c57fff,2.0
198,8a2830810c5ffff,25.0
199,8a2830810c6ffff,4.0
200,8a2830810c77fff,45.0
201,8a2830810c87fff,18.0
202,8a2830810c8ffff,4.0
203,8a2830810c97fff,679.0
204,8a2830810c9ffff,1845.0
205,8a2830810ca7fff,27.0
206,8a2830810caffff,119.0
207,8a2830810cb7fff,207.0
208,8a2830810cc7fff,264.0
209,8a2830810ccffff,29.0
210,8a2830810cd7fff,1.0
211,8a2830810cdffff,19.0
212,8a2830810ceffff,27.0
213,8a2830810cf7fff,142.0
214,8a2830810d07fff,27.0
215,8a2830810d17fff,3439.0
216,8a2830810d1ffff,36.0
217,8a2830810d2ffff,316.0
218,8a2830810d37fff,12.0
219,8a2830810d47fff,1.0
220,8a2830810d77fff,66.0
221,8a2830810d87fff,338.0
222,8a2830810d8ffff,1038.0
223,8a2830810d9ffff,56.0
224,8a2830810da7fff,639.0
225,8a2830810daffff,1.0
226,8a2830810db7fff,13219.0
227,8a28308110a7fff,4.0
228,8a2830811157fff,17.0
229,8a2830811197fff,1.0
230,8a283081119ffff,21.0
231,8a28308111b7fff,1.0
232,8a2830811287fff,6970.0
233,8a28308112b7fff,4.0
234,8a28308112c7fff,55.0
235,8a28308112cffff,2.0
236,8a28308112d7fff,1.0
237,8a28308112e7fff,8.0
238,8a28308112effff,10.0
239,8a2830811357fff,121.0
240,8a283081138ffff,1.0
241,8a2830811467fff,1.0
242,8a28308114d7fff,1.0
243,8a2830811547fff,2.0
244,8a28308115affff,38.0
245,8a283081161ffff,2.0
246,8a283081164ffff,40.0
247,8a283081165ffff,1.0
248,8a283081168ffff,5.0
249,8a2830811697fff,34.0
250,8a28308116c7fff,1011.0
251,8a28308116cffff,251.0
252,8a28308116d7fff,1.0
253,8a28308116dffff,72.0
254,8a28308116effff,77.0
255,8a283081174ffff,49.0
256,8a2830811777fff,1.0
257,8a2830811827fff,1.0
258,8a2830811867fff,1.0
259,8a2830811897fff,23.0
260,8a28308118d7fff,1.0
261,8a2830811987fff,22.0
262,8a283081198ffff,15.0
263,8a28308119affff,18.0
264,8a28308119b7fff,132.0
265,8a2830811aa7fff,1.0
266,8a2830811b2ffff,54.0
267,8a2830811c0ffff,13.0
268,8a2830811c2ffff,1.0
269,8a2830811c4ffff,905.0
270,8a2830811c67fff,15.0
271,8a2830811c77fff,195.0
272,8a2830811c87fff,365.0
273,8a2830811cb7fff,344.0
274,8a2830811cc7fff,17794.0
275,8a2830811cdffff,2.0
276,8a2830811ce7fff,59.0
277,8a2830811d17fff,2.0
278,8a2830811d4ffff,1.0
279,8a2830811d57fff,1343.0
280,8a2830811d67fff,57.0
281,8a2830811d6ffff,47.0
282,8a2830811d77fff,15.0
283,8a283081200ffff,7.0
284,8a2830812017fff,6177.0
285,8a283081201ffff,38.0
286,8a2830812027fff,39.0
287,8a283081202ffff,3.0
288,8a2830812037fff,115.0
289,8a283081204ffff,8.0
290,8a283081205ffff,102.0
291,8a2830812067fff,95.0
292,8a2830812087fff,69.0
293,8a283081208ffff,67.0
294,8a2830812097fff,3.0
295,8a28308120affff,149.0
296,8a28308120cffff,37.0
297,8a28308120dffff,1.0
298,8a28308120e7fff,4031.0
299,8a28308120effff,1.0
300,8a2830812107fff,18.0
301,8a2830812117fff,98.0
302,8a283081211ffff,2.0
303,8a283081212ffff,14.0
304,8a2830812137fff,367.0
305,8a2830812157fff,12.0
306,8a2830812187fff,69.0
307,8a283081218ffff,91.0
308,8a2830812197fff,17.0
309,8a28308121a7fff,9.0
310,8a28308121b7fff,2.0
311,8a2830812227fff,7.0
312,8a2830812247fff,6.0
313,8a283081224ffff,19.0
314,8a283081225ffff,1.0
315,8a283081226ffff,38.0
316,8a2830812277fff,6.0
317,8a283081228ffff,40.0
318,8a2830812297fff,662.0
319,8a28308122a7fff,52.0
320,8a28308122affff,5.0
321,8a28308122c7fff,103.0
322,8a2830812307fff,11.0
323,8a283081230ffff,15.0
324,8a2830812317fff,29.0
325,8a283081231ffff,1797.0
326,8a2830812327fff,131.0
327,8a2830812337fff,535.0
328,8a2830812347fff,133.0
329,8a283081234ffff,224.0
330,8a2830812357fff,33.0
331,8a283081235ffff,41.0
332,8a283081236ffff,87.0
333,8a2830812377fff,1.0
334,8a2830812387fff,30.0
335,8a283081238ffff,10.0
336,8a2830812397fff,46.0
337,8a283081239ffff,866.0
338,8a28308123affff,1.0
339,8a283081242ffff,10.0
340,8a283081244ffff,40.0
341,8a2830812457fff,19.0
342,8a283081245ffff,12.0
343,8a283081249ffff,90.0
344,8a28308124c7fff,582.0
345,8a28308124cffff,6.0
346,8a28308124dffff,357.0
347,8a2830812517fff,27.0
348,8a283081252ffff,128.0
349,8a2830812537fff,49.0
350,8a2830812547fff,17.0
351,8a2830812597fff,1266.0
352,8a28308125a7fff,46.0
353,8a28308125b7fff,171.0
354,8a283081260ffff,6.0
355,8a2830812637fff,10.0
356,8a283081264ffff,13.0
357,8a2830812657fff,4.0
358,8a283081265ffff,8.0
359,8a2830812667fff,33.0
360,8a283081266ffff,30.0
361,8a283081268ffff,402.0
362,8a283081269ffff,352.0
363,8a28308126a7fff,288.0
364,8a28308126affff,183.0
365,8a28308126c7fff,26.0
366,8a28308126d7fff,968.0
367,8a28308126dffff,140.0
368,8a28308126effff,15.0
369,8a28308126f7fff,132.0
370,8a2830812707fff,6.0
371,8a2830812767fff,111.0
372,8a283081276ffff,76.0
373,8a2830812777fff,2.0
374,8a2830812797fff,4.0
375,8a283081280ffff,70.0
376,8a2830812817fff,102.0
377,8a283081282ffff,457.0
378,8a283081284ffff,43.0
379,8a2830812857fff,3.0
380,8a283081285ffff,2.0
381,8a2830812867fff,15.0
382,8a2830812877fff,76.0
383,8a283081288ffff,2.0
384,8a2830812897fff,3.0
385,8a28308128affff,2.0
386,8a28308128cffff,2.0
387,8a2830812907fff,979.0
388,8a283081290ffff,24.0
389,8a2830812917fff,378.0
390,8a283081291ffff,24.0
391,8a2830812927fff,1600.0
392,8a283081292ffff,17.0
393,8a2830812937fff,2168.0
394,8a283081294ffff,1.0
395,8a2830812957fff,4.0
396,8a283081295ffff,13.0
397,8a2830812987fff,162.0
398,8a283081298ffff,50.0
399,8a2830812997fff,1.0
400,8a283081299ffff,8.0
401,8a28308129a7fff,10.0
402,8a2830812a07fff,10.0
403,8a2830812a17fff,89.0
404,8a2830812a1ffff,95.0
405,8a2830812a2ffff,113.0
406,8a2830812a77fff,126.0
407,8a2830812a8ffff,2.0
408,8a2830812a97fff,18.0
409,8a2830812aaffff,12.0
410,8a2830812ad7fff,397.0
411,8a2830812ae7fff,111.0
412,8a2830812aeffff,16.0
413,8a2830812af7fff,1.0
414,8a2830812b17fff,13.0
415,8a2830812b1ffff,2.0
416,8a2830812b27fff,2.0
417,8a2830812b2ffff,133.0
418,8a2830812b37fff,22.0
419,8a2830812b57fff,2.0
420,8a2830812b87fff,1.0
421,8a2830812b9ffff,274.0
422,8a2830812c0ffff,10675.0
423,8a2830812c27fff,37.0
424,8a2830812c2ffff,646.0
425,8a2830812c47fff,10.0
426,8a2830812c57fff,1.0
427,8a2830812c5ffff,23.0
428,8a2830812c6ffff,2.0
429,8a2830812c77fff,4.0
430,8a2830812ce7fff,4857.0
431,8a2830812cf7fff,1355.0
432,8a2830812d0ffff,3.0
433,8a2830812d2ffff,1501.0
434,8a2830812d37fff,19.0
435,8a2830812d47fff,34.0
436,8a2830812d4ffff,7.0
437,8a2830812d5ffff,13.0
438,8a2830812d6ffff,6.0
439,8a2830812d77fff,39.0
440,8a2830812da7fff,1.0
441,8a283081305ffff,148.0
442,8a283081306ffff,8.0
443,8a2830813087fff,79.0
444,8a28308130affff,52.0
445,8a28308130c7fff,2.0
446,8a28308130effff,5.0
447,8a28308130f7fff,28.0
448,8a283081311ffff,3.0
449,8a2830813137fff,20.0
450,8a2830813177fff,3.0
451,8a2830813197fff,4.0
452,8a283081320ffff,1.0
453,8a2830813247fff,286.0
454,8a283081324ffff,10.0
455,8a2830813267fff,23.0
456,8a283081326ffff,10.0
457,8a2830813287fff,863.0
458,8a283081329ffff,14.0
459,8a283081331ffff,17.0
460,8a283081334ffff,6.0
461,8a283081338ffff,1.0
462,8a28308133affff,13.0
463,8a28308133b7fff,15.0
464,8a283081340ffff,1.0
465,8a2830813417fff,36.0
466,8a2830813427fff,2.0
467,8a2830813487fff,188.0
468,8a2830813497fff,7.0
469,8a283081349ffff,9633.0
470,8a28308134cffff,117.0
471,8a28308134e7fff,722.0
472,8a283081350ffff,17.0
473,8a2830813547fff,124.0
474,8a2830813557fff,935.0
475,8a283081356ffff,13.0
476,8a2830813577fff,18.0
477,8a2830813587fff,2.0
478,8a283081358ffff,294.0
479,8a2830813597fff,24.0
480,8a283081359ffff,111.0
481,8a28308135affff,4123.0
482,8a28308135b7fff,98.0
483,8a2830813607fff,31.0
484,8a283081361ffff,18.0
485,8a2830813627fff,359.0
486,8a283081362ffff,8.0
487,8a2830813697fff,17.0
488,8a28308136cffff,30.0
489,8a28308136dffff,1.0
490,8a28308136e7fff,206.0
491,8a2830813717fff,13.0
492,8a2830813757fff,2.0
493,8a283081375ffff,21.0
494,8a2830813767fff,42.0
495,8a2830813777fff,3.0
496,8a28308137a7fff,7.0
497,8a28308137affff,1.0
498,8a2830813857fff,40.0
499,8a283081385ffff,21.0
500,8a283081386ffff,5.0
501,8a283081389ffff,1.0
502,8a28308138affff,4.0
503,8a283081390ffff,3.0
504,8a283081395ffff,28.0
505,8a2830813a0ffff,25.0
506,8a2830813a37fff,129.0
507,8a2830813a47fff,3.0
508,8a2830813a4ffff,23.0
509,8a2830813a5ffff,3.0
510,8a2830813a67fff,143.0
511,8a2830813a77fff,1.0
512,8a2830813a8ffff,104.0
513,8a2830813a9ffff,34.0
514,8a2830813aa7fff,6.0
515,8a2830813ab7fff,55.0
516,8a2830813ac7fff,5.0
517,8a2830813acffff,94.0
518,8a2830813adffff,1.0
519,8a2830813ae7fff,27.0
520,8a2830813aeffff,31.0
521,8a2830813b07fff,2.0
522,8a2830813b17fff,61.0
523,8a2830813b27fff,5.0
524,8a2830813b67fff,54.0
525,8a2830813b6ffff,3.0
526,8a2830813ba7fff,1.0
527,8a2830813baffff,8.0
528,8a2830813c0ffff,106.0
529,8a2830813c17fff,2.0
530,8a2830813c27fff,1.0
531,8a2830813c2ffff,22.0
532,8a2830813c37fff,324.0
533,8a2830813c47fff,1.0
534,8a2830813c4ffff,2.0
535,8a2830813c57fff,11.0
536,8a2830813ca7fff,6.0
537,8a2830813cb7fff,10.0
538,8a2830813cdffff,12.0
539,8a2830813d1ffff,9.0
540,8a2830813d27fff,100.0
541,8a2830813d2ffff,53.0
542,8a2830813d4ffff,6.0
543,8a2830813d77fff,6.0
544,8a2830814017fff,1558.0
545,8a283081401ffff,131.0
546,8a2830814077fff,46.0
