,h3_10,crows
0,8a28308004b7fff,4.0
1,8a2830802047fff,15.0
2,8a283080204ffff,5386.0
3,8a2830802057fff,110.0
4,8a283080205ffff,19.0
5,8a2830802067fff,6.0
6,8a2830802077fff,17.0
7,8a28308020effff,71.0
8,8a2830802147fff,37.0
9,8a2830802157fff,19.0
10,8a283080215ffff,16.0
11,8a2830802167fff,2.0
12,8a283080216ffff,4.0
13,8a283080219ffff,2.0
14,8a2830802317fff,3.0
15,8a283080231ffff,4.0
16,8a2830802367fff,30.0
17,8a28308023a7fff,33.0
18,8a28308023b7fff,7.0
19,8a2830802b87fff,4.0
20,8a2830802b8ffff,2.0
21,8a2830802b97fff,10.0
22,8a2830802b9ffff,16.0
23,8a283080378ffff,1.0
24,8a283080379ffff,2.0
25,8a2830803d5ffff,3.0
26,8a283080632ffff,43.0
27,8a28308064c7fff,1.0
28,8a2830806707fff,132.0
29,8a2830806737fff,6.0
30,8a2830806c9ffff,8.0
31,8a2830806cb7fff,48.0
32,8a2830810037fff,24.0
33,8a2830810087fff,1.0
34,8a2830810117fff,59.0
35,8a283081011ffff,3.0
36,8a2830810137fff,1.0
37,8a283081014ffff,31.0
38,8a283081016ffff,33.0
39,8a2830810177fff,2.0
40,8a283081018ffff,912.0
41,8a2830810197fff,100.0
42,8a2830810207fff,1.0
43,8a2830810407fff,1492.0
44,8a283081040ffff,4.0
45,8a2830810417fff,4.0
46,8a2830810427fff,156.0
47,8a2830810437fff,1.0
48,8a283081046ffff,175.0
49,8a28308104c7fff,42.0
50,8a28308104d7fff,2.0
51,8a28308104e7fff,175.0
52,8a2830810507fff,12.0
53,8a2830810517fff,85.0
54,8a2830810527fff,3.0
55,8a2830810557fff,3.0
56,8a283081055ffff,12.0
57,8a2830810577fff,98.0
58,8a2830810587fff,196.0
59,8a283081058ffff,11.0
60,8a2830810597fff,124.0
61,8a283081059ffff,25.0
62,8a28308105a7fff,1661.0
63,8a28308105affff,37.0
64,8a283081061ffff,2.0
65,8a283081062ffff,2.0
66,8a2830810707fff,75.0
67,8a283081076ffff,9.0
68,8a2830810777fff,4.0
69,8a283081078ffff,2.0
70,8a28308107affff,2.0
71,8a2830810827fff,2.0
72,8a2830810857fff,3.0
73,8a2830810897fff,4.0
74,8a28308108c7fff,4.0
75,8a2830810927fff,2.0
76,8a2830810967fff,3.0
77,8a283081098ffff,2.0
78,8a2830810a5ffff,10.0
79,8a2830810acffff,15.0
80,8a2830810adffff,6.0
81,8a2830810b97fff,2.0
82,8a2830810baffff,4.0
83,8a2830810bb7fff,1.0
84,8a2830810c07fff,180.0
85,8a2830810c0ffff,4.0
86,8a2830810c97fff,51.0
87,8a2830810c9ffff,57.0
88,8a2830810caffff,7.0
89,8a2830810cb7fff,1.0
90,8a2830810cc7fff,13.0
91,8a2830810cdffff,1.0
92,8a2830810cf7fff,80.0
93,8a2830810d17fff,237.0
94,8a2830810d1ffff,1.0
95,8a2830810d2ffff,4.0
96,8a2830810d87fff,9.0
97,8a2830810d8ffff,73.0
98,8a2830810d9ffff,4.0
99,8a2830810da7fff,1.0
100,8a2830810db7fff,434.0
101,8a2830811287fff,110.0
102,8a28308115affff,2.0
103,8a283081168ffff,2.0
104,8a2830811697fff,8.0
105,8a28308116c7fff,21.0
106,8a28308116dffff,2.0
107,8a28308116effff,1.0
108,8a2830811897fff,1.0
109,8a2830811987fff,2.0
110,8a28308119affff,2.0
111,8a28308119b7fff,10.0
112,8a2830811c4ffff,76.0
113,8a2830811c77fff,11.0
114,8a2830811c87fff,102.0
115,8a2830811cb7fff,60.0
116,8a2830811cc7fff,865.0
117,8a2830811ce7fff,3.0
118,8a2830811d17fff,1.0
119,8a2830811d57fff,120.0
120,8a2830811d67fff,11.0
121,8a2830811d6ffff,22.0
122,8a2830812017fff,557.0
123,8a2830812037fff,8.0
124,8a283081204ffff,1.0
125,8a283081205ffff,7.0
126,8a2830812067fff,6.0
127,8a2830812087fff,1.0
128,8a283081208ffff,6.0
129,8a28308120affff,6.0
130,8a28308120e7fff,540.0
131,8a2830812107fff,2.0
132,8a283081212ffff,9.0
133,8a2830812137fff,17.0
134,8a2830812187fff,3.0
135,8a283081218ffff,6.0
136,8a2830812197fff,3.0
137,8a28308121a7fff,3.0
138,8a283081224ffff,3.0
